ID,total_rental
A600,7317.03
A601,7304.17
A602,7462.69
A603,5905.41
A604,5104.52
A605,6765.84
A606,6997.37
A607,7311.01
A608,7275.76
A609,6799.16
A610,7401.21
A611,6782.54
A612,5751.72
A613,6431.15
A614,6785.37
A615,6080.44
A616,6904.28
A617,4768.97
A618,7151.96
A619,6842.27
A620,6937.38
A621,7180.57
A622,7298.73
A623,7457.62
A624,7534.48
A625,6865.64
A626,6617.83
A627,4210.61
A628,6675.97
A629,6826.0
A630,7351.53
A631,7401.45
A632,6761.49
A633,6538.71
A634,6651.45
A635,7306.28
A636,6943.04
A637,6910.7
A638,7260.72
A639,6656.92
A640,6544.54
A641,5744.14
A642,6477.11
A643,6951.22
A644,7451.72
A645,7016.55
A646,6115.08
A647,5644.72
A648,5050.66
A649,6635.4
A650,6289.81
A651,6244.21
A652,6268.02
A653,6552.83
A654,6516.89
A655,6424.67
A656,6223.92
A657,5326.4
A658,5762.56
A659,6952.95
A660,6075.03
A661,6438.81
A662,6678.2
A663,6979.02
A664,6076.2
A665,6084.25
A666,6492.98
A667,6089.76
A668,3376.85
A669,3729.22
A670,5302.93
A671,5915.81
A672,6055.22
A673,5172.26
A674,5917.28
A675,5845.93
A676,5785.64
A677,4913.76
A678,5849.29
A679,6170.41
A680,6250.52
A681,5921.6
A682,5869.48
A683,5123.34
A684,5797.38
A685,5962.27
A686,6128.79
A687,6171.61
A688,5805.34
A689,5658.72
A690,5721.66
A691,6023.55
A692,5875.15
A693,5953.64
A694,4856.28
A695,5163.17
A696,5980.08
A697,3823.17
A698,5860.51
A699,6018.16
A700,6031.42
A701,5796.54
A702,5262.46
A703,5599.9
A704,5927.78
A705,5691.06
A706,5782.5
A707,5011.81
A708,4478.19
A709,4483.93
A710,4482.41
A711,4986.75
A712,5121.21
A713,5979.02
A714,5969.27
A715,6094.02
A716,5756.92
A717,5312.41
A718,6076.38
A719,5985.24
A720,5866.39
A721,3892.5
A722,3703.78
A723,3984.96
A724,4101.46
A725,3825.48
A726,3546.93
A727,3823.89
A728,4455.03
A729,4212.66
A730,3493.5
