ID,total_rental
A600,7075.39
A601,7180.5
A602,7144.75
A603,5771.43
A604,5061.1
A605,6791.42
A606,6954.1
A607,7309.36
A608,7111.1
A609,6634.36
A610,7546.73
A611,6098.25
A612,6556.07
A613,6548.53
A614,6782.21
A615,6315.1
A616,6920.25
A617,4957.73
A618,7140.07
A619,7179.55
A620,7084.21
A621,7434.92
A622,7137.31
A623,7512.99
A624,7516.32
A625,6662.77
A626,6721.0
A627,4519.02
A628,7138.08
A629,7099.32
A630,7471.67
A631,7384.24
A632,6802.76
A633,6852.5
A634,7024.15
A635,7308.79
A636,7080.49
A637,6956.14
A638,7409.74
A639,6821.52
A640,6731.07
A641,5673.13
A642,6559.31
A643,6924.34
A644,7521.87
A645,7167.62
A646,5866.94
A647,5499.63
A648,5600.3
A649,7044.06
A650,6318.87
A651,6407.26
A652,6359.96
A653,6699.94
A654,6608.61
A655,6267.34
A656,6168.87
A657,5700.56
A658,5879.29
A659,6305.95
A660,6226.43
A661,6178.16
A662,6844.53
A663,7159.26
A664,6420.44
A665,6343.61
A666,6573.67
A667,5899.01
A668,3730.42
A669,3350.35
A670,5080.84
A671,5858.43
A672,6292.61
A673,5044.39
A674,5881.23
A675,5832.47
A676,5990.34
A677,4575.15
A678,6064.29
A679,6268.51
A680,6309.33
A681,6166.31
A682,6040.06
A683,4834.37
A684,5983.7
A685,6013.91
A686,6174.63
A687,6207.66
A688,5423.29
A689,5545.65
A690,5839.38
A691,6092.03
A692,5818.15
A693,6324.9
A694,4313.13
A695,5102.85
A696,5930.67
A697,3661.68
A698,5993.78
A699,6238.78
A700,6171.18
A701,5299.43
A702,4274.35
A703,6127.28
A704,6110.61
A705,6108.42
A706,6124.84
A707,4799.83
A708,4199.62
A709,4016.84
A710,4911.05
A711,4966.76
A712,5130.21
A713,6158.26
A714,6274.59
A715,6135.01
A716,5020.03
A717,5004.94
A718,6140.88
A719,5992.81
A720,5792.26
A721,4014.98
A722,3402.24
A723,4084.2
A724,3458.82
A725,3450.97
A726,2446.96
A727,3564.72
A728,4370.56
A729,3922.21
A730,3332.98
