ID,total_rental
A600,7189.56
A601,7039.31
A602,7295.94
A603,5907.48
A604,5260.4
A605,6640.95
A606,6968.77
A607,7266.0
A608,7271.88
A609,6780.56
A610,7008.93
A611,6450.14
A612,5825.25
A613,5889.51
A614,6551.67
A615,5932.76
A616,6721.99
A617,5033.04
A618,6883.92
A619,6892.91
A620,7239.45
A621,7348.34
A622,7171.47
A623,7263.54
A624,7456.74
A625,6907.23
A626,6300.82
A627,4650.92
A628,6975.57
A629,6958.95
A630,7307.46
A631,7033.65
A632,6884.35
A633,6803.62
A634,6809.35
A635,7002.13
A636,6824.89
A637,6781.36
A638,7171.64
A639,6782.94
A640,6591.97
A641,5237.4
A642,6250.58
A643,6676.04
A644,7380.21
A645,6690.56
A646,5693.2
A647,4707.31
A648,5117.02
A649,6672.78
A650,6365.85
A651,6269.35
A652,5796.56
A653,6549.26
A654,6014.44
A655,6460.07
A656,6178.77
A657,5819.82
A658,5903.23
A659,6816.04
A660,6075.95
A661,6527.1
A662,6904.89
A663,7008.75
A664,5890.57
A665,5927.2
A666,6037.92
A667,5740.32
A668,4310.6
A669,5066.07
A670,5633.2
A671,5332.65
A672,5775.4
A673,5507.74
A674,5647.15
A675,5543.79
A676,5501.31
A677,5215.89
A678,5449.61
A679,5877.88
A680,5871.74
A681,5952.34
A682,5980.22
A683,5208.59
A684,5523.94
A685,5657.02
A686,5839.84
A687,5866.01
A688,5534.12
A689,5288.1
A690,5317.72
A691,5823.84
A692,4691.5
A693,5271.62
A694,4936.27
A695,5156.39
A696,5742.1
A697,5096.42
A698,5556.3
A699,5622.38
A700,5794.76
A701,5385.1
A702,5290.69
A703,5772.91
A704,6137.23
A705,5878.24
A706,5321.31
A707,5473.81
A708,4353.77
A709,4398.32
A710,4575.81
A711,5389.17
A712,5436.03
A713,5546.8
A714,5652.75
A715,5783.59
A716,4891.45
A717,4680.58
A718,5976.86
A719,5800.78
A720,5690.18
A721,3858.56
A722,2976.56
A723,3486.72
A724,3235.53
A725,3331.4
A726,2845.51
A727,3410.27
A728,3889.13
A729,3000.16
A730,2833.84
