ID,total_rental
A600,7185.8
A601,7276.55
A602,7436.49
A603,6139.22
A604,4839.51
A605,6523.96
A606,6895.46
A607,7246.59
A608,7180.55
A609,6892.34
A610,7095.38
A611,5421.67
A612,5401.31
A613,5489.48
A614,6148.9
A615,5828.1
A616,6473.66
A617,5060.96
A618,6868.48
A619,6858.86
A620,6700.71
A621,7225.23
A622,7220.23
A623,7489.0
A624,7470.76
A625,6550.49
A626,6154.11
A627,4751.66
A628,6970.3
A629,6915.35
A630,7427.05
A631,7209.07
A632,6642.57
A633,6752.39
A634,6787.43
A635,7143.39
A636,7223.34
A637,7302.93
A638,6925.39
A639,6571.87
A640,6631.53
A641,5545.03
A642,5385.84
A643,6668.88
A644,7537.2
A645,6938.9
A646,5333.11
A647,4841.76
A648,5259.92
A649,6707.68
A650,6139.1
A651,6185.73
A652,5912.24
A653,6448.68
A654,6320.56
A655,5768.09
A656,5748.07
A657,6031.77
A658,6248.14
A659,6174.83
A660,5508.12
A661,5973.39
A662,6861.55
A663,6909.25
A664,6195.7
A665,6249.3
A666,6182.11
A667,5814.41
A668,4676.35
A669,3832.34
A670,5391.64
A671,5850.4
A672,5849.97
A673,5678.51
A674,5556.15
A675,5585.04
A676,5771.64
A677,5646.44
A678,5683.99
A679,5933.81
A680,5750.34
A681,5828.52
A682,5617.04
A683,5247.25
A684,5695.34
A685,5728.53
A686,5732.78
A687,5675.24
A688,4647.38
A689,5665.34
A690,5123.56
A691,5624.56
A692,5564.76
A693,5733.52
A694,5148.07
A695,5345.13
A696,5391.26
A697,4592.81
A698,5496.45
A699,5576.12
A700,5397.53
A701,4150.84
A702,3678.89
A703,5657.57
A704,5739.14
A705,6191.4
A706,5789.03
A707,4777.01
A708,4295.94
A709,3948.67
A710,4471.26
A711,5632.84
A712,5706.62
A713,5589.54
A714,5698.47
A715,5363.24
A716,3706.06
A717,4323.59
A718,5785.63
A719,5636.45
A720,5422.45
A721,4288.14
A722,3554.1
A723,3939.92
A724,3388.03
A725,3751.95
A726,3085.61
A727,3616.87
A728,4146.46
A729,3439.42
A730,3553.8
