ID,total_rental
A600,7719.422788551186
A601,7602.159278033475
A602,7397.595372161254
A603,6558.5323706292875
A604,5810.3754479142135
A605,7011.511140858732
A606,7089.53205489321
A607,7354.024137951913
A608,7679.4578607274
A609,7415.736541086554
A610,7401.212384829032
A611,6818.88730581659
A612,6619.8944751082345
A613,6947.144830440657
A614,6713.603934025902
A615,5737.539748539811
A616,7294.823326149864
A617,5437.392525649737
A618,7483.120577036031
A619,7082.760790279458
A620,7719.422193199481
A621,7512.95092380331
A622,7803.720452276853
A623,7409.884870822247
A624,7395.578836685083
A625,7524.910608795335
A626,6626.207802172422
A627,4058.236784149235
A628,6943.002366194767
A629,7970.441048653115
A630,7271.102339627721
A631,7491.883112943779
A632,7672.945103375817
A633,6884.749550387582
A634,7237.4943469413265
A635,7184.624444172749
A636,7361.0159920351225
A637,7335.326080233313
A638,7296.084753157102
A639,7513.7113024532955
A640,6745.381114295346
A641,5644.108828031754
A642,6754.3802450747
A643,7436.418318142871
A644,7411.909307556811
A645,7297.240202566105
A646,5826.5843118045905
A647,5358.29190882256
A648,5736.183493068253
A649,7164.755990523158
A650,6013.312609204307
A651,6411.6250056926265
A652,6313.972244470984
A653,6814.825776375926
A654,6968.938610131454
A655,6305.064473910486
A656,6430.760253021439
A657,5710.7388934377805
A658,5546.533944141288
A659,6622.675939914441
A660,6395.131062410681
A661,6326.8323684688
A662,7184.154023959953
A663,7738.986524199046
A664,7061.654351073688
A665,6589.431957970664
A666,6985.903380919331
A667,5688.868835492185
A668,2866.862418915455
A669,3437.6359304532525
A670,5340.407993729584
A671,5638.714828718423
A672,5802.089415263813
A673,5762.814751349501
A674,5768.096066598983
A675,5804.620433087549
A676,5524.928514407506
A677,5648.70209660728
A678,5602.756065899416
A679,5781.658643547403
A680,6208.899707055784
A681,6286.572284534057
A682,5885.513853255863
A683,4637.265072034086
A684,5516.642778625651
A685,5526.482143446107
A686,5804.0182967352175
A687,5743.08731131233
A688,4933.818818055494
A689,5634.023440922569
A690,5819.531485738323
A691,5727.620423593519
A692,5679.1121392608
A693,5850.484311158453
A694,5024.806210828553
A695,5453.346386519012
A696,5792.704522583263
A697,4214.440344372209
A698,5588.6239712031
A699,5666.278677933566
A700,5542.965347202837
A701,5245.084931650623
A702,3720.3675964389386
A703,5861.743562797733
A704,6161.590964578893
A705,6134.950128283704
A706,5515.250859507065
A707,4603.477541370825
A708,4687.923310720011
A709,3744.5367429101343
A710,4640.806175602338
A711,5526.804337061857
A712,5147.095027769977
A713,5696.672173730007
A714,5729.8793185505265
A715,5818.5240216843
A716,5686.984457317206
A717,4322.66005209541
A718,5847.455170324913
A719,5539.165297946829
A720,5664.555667698466
A721,3092.4721312748698
A722,2741.585759243423
A723,2793.0554256894584
A724,2610.0642898269393
A725,1644.461944390387
A726,1037.3861552993217
A727,2098.0656113943937
A728,2844.5771586826886
A729,2115.13511564076
A730,1948.45071544874
