ID,total_rental
A600,7156.02
A601,7195.2
A602,7403.77
A603,5741.4
A604,5072.56
A605,6703.0
A606,6918.66
A607,7089.48
A608,7115.44
A609,6710.69
A610,7434.89
A611,6641.4
A612,5809.13
A613,6400.7
A614,6603.45
A615,6032.34
A616,6758.15
A617,4655.07
A618,7133.16
A619,6913.36
A620,6989.78
A621,7166.56
A622,7248.04
A623,7388.27
A624,7554.53
A625,6746.06
A626,6605.96
A627,4043.17
A628,7012.03
A629,7048.54
A630,7342.95
A631,7213.28
A632,6836.21
A633,6749.68
A634,6864.16
A635,7248.7
A636,7029.63
A637,6868.69
A638,7284.84
A639,6834.17
A640,6712.44
A641,5789.0
A642,6381.55
A643,6945.1
A644,7425.01
A645,7112.48
A646,6122.58
A647,5653.35
A648,5335.35
A649,6754.38
A650,6338.78
A651,6372.51
A652,6106.69
A653,6718.52
A654,6401.87
A655,6440.19
A656,6159.24
A657,5296.42
A658,5673.86
A659,6990.79
A660,6133.55
A661,6444.45
A662,6772.18
A663,7092.04
A664,6091.92
A665,6093.64
A666,6446.72
A667,5968.65
A668,3535.7
A669,3813.68
A670,5452.99
A671,5801.57
A672,6054.03
A673,5234.31
A674,5838.17
A675,5822.3
A676,5735.53
A677,5023.75
A678,5854.85
A679,6120.72
A680,6162.93
A681,5924.42
A682,5799.4
A683,5190.01
A684,5758.05
A685,5973.63
A686,6095.99
A687,6056.44
A688,5831.91
A689,5560.89
A690,5599.71
A691,6058.23
A692,5836.1
A693,5723.85
A694,5076.66
A695,5294.35
A696,5941.74
A697,3947.72
A698,5802.99
A699,5931.11
A700,6005.45
A701,5783.19
A702,5340.71
A703,5663.47
A704,5874.59
A705,5772.85
A706,5758.99
A707,5314.8
A708,4718.01
A709,4642.8
A710,4508.92
A711,5126.67
A712,5278.89
A713,5860.71
A714,5920.17
A715,6058.77
A716,5625.55
A717,5276.14
A718,6066.64
A719,6022.07
A720,5898.04
A721,3885.49
A722,3034.72
A723,3935.41
A724,3667.82
A725,3165.95
A726,2194.45
A727,3608.61
A728,4207.68
A729,3812.08
A730,3113.53
